,phrase before,chandler's phrase
3342, here it comes. our first kiss., okay! okay! okay! you win! you win!! i can't have sex with ya!
3343, and why not?!, because i'm in love with monica!!
3344, you're-you're what?!," love her! that's right, i…love…her!!! i love her!! (they walk together and hug.) i love you, monica."
3345, dude!, and hats off to phoebe. quite a competitor. (pause) and might i say your breasts are still showing.
3346," well actually, ross doesn't."," yes, and we'd appreciate it if no one told him yet."
3347," oh donald that-that would be great. i am totally ready to come back to work. i—what? (he notices something through the window.) no! wh… what are you doing?!! (dr. ledbetter is slowly backing away.) get off my sister!!!!!!!!!!!!!  chandler!!! chandler!!! (he opens the door to the apartment but is stopped by the chain; chandler and monica quickly stop making out and try to get dressed.) chandler, i saw what you were doing through the window! chandler, i saw what you were doing to my sister! now get out here!"," (to monica) wow! listen, we had a good run. what was it? four? five months? i mean, that's more than most people have in a lifetime! so, good-bye, take care, bye-bye then! (he kisses her and starts to climb out the balcony window.)  oh, i'm going on the lamb."
3348," (running from the guy's apartment with joey in tow) hey, what's-what's going on?!"," well, i think, i think ross knows about me and monica."
3349," (to chandler) i thought you were my best friend, this is my sister! my best friend and my sister! i-i cannot believe this!"," look, we're not just messing around! i love her. okay, i'm in love with her."
3350," hey, you know what i just realized? if you guys ever have kids…", (interrupting) whoa-whoa-whoa! we're having kids?!
3351," guys, you're a few steps ahead of us."," yeah, big zero gravity moon steps."
3352," i know what you need, you need a bodyguard. hey ross, what is ben doing after preschool?"," hey listen, come on, joey is having a problem! a little girl is beating him up."
3353," …so then president steve told everyone that i was a cheapskate, and now the whole building hates me! a little kid spit on my knee! y'know what i'm gonna do? i'm gonna throw a party. that's right. for everyone in the building, and i'm gonna sit them down and explain to them, i am not a bad guy. i am not a cheap guy! i'm just a guy who-who stands up for what he believes in. a man with principles.", (to rachel) sounds like a fun party.
3354, and that crazy party animal will be your brother-in-law.," very, very funny, but don't say things like that in front of monica. i don't want you putting any ideas in her head."
3355," umm, chandler, you do realize that those ideas are probably already in monica's head.", wh-wh-why?!
3356," well, because she loves you and because you love her."," yeah, so, what's that supposed to mean?!"
3357,"hey, chandler, don't freak out! i'm telling you something you already know! come on, she broke up with richard because he didn't want to have babies. and she's a woman, and she's almost 30, and y'know it's monica."," i don't see it that way. okay? because, i see two monicas, the one that was my friend, who lived across the hall, and wanted to have a lot of babies and then the new monica, who i just started to date. now, who's to say what she wants?! i’m right. i'm right. am i right?"
3358," no, you're right, you are absolutely right. i mean that makes, that makes everything different."," okay. it's not different at all, is it?"
3359, isn't this great?, hmm.
3360, couldn't you just stay like this forever? (his eyes snap open.) chandler! couldn't you just stay here forever?," yeah, here, somewhere else, y'know where-where ever. (gets up.)"
3361, are you okay?," yeah, i'm cool. casual."
3362, what-what are you doing?," i'm just hanging out. y'know, having fun. y'know with the girl that i'm seeing casually."
3363," man, i knew it! i knew you were going to do this!!  get all freaked out because everybody was talking and just joking around about marriage and stuff."," well, you do want all that stuff, right?"
3364, oh and you know what i want!, yes! you want babies! you have baby fever!
3365, i do not have baby fever!," oh please, you are obsessed with babies and-and marriage and everything that's related to babies and-and marriage! i've got an idea, why don't we turn down the heat on this pressure cooker?!"
3366," have you lost your mind? chandler, this isn't about me! this is about you and all your weird relationship commitment crap!", nah-uh! i know you! okay? i know the thoughts that you have in the head--in your head!
3367, you don't know everything. did you know that i'm going out with rachel tonight instead of you? hmm? and did you know that the only baby around here is you?! and did you know that i can't even look at you right now?! (she storms out.)," well, i did not know that.  it's gonna be okay, right? i mean she's not gonna leave me? this is, this is fixable."
3368," oh yeah, yeah, sure. absolutely.", by me?
3369," gunther, can i get a coffee (looks at chandler) to go?", monica. (goes to talk to her.)
3370, i'm still not done not wanting to talk to you.," just tell me what i need to do to make things right.  well, that's what we do. y'know, i-i mess up and then you tell me how to fix it and then i do and then y'know you think i'm all cute again."
3371," oh wow, yeah! see, i did not get that.", where's monica?! where is she? i need to talk to her! it's urgent! is she here?
3372, (raising her hand) i'm monica.," i need to talk to you, it's urgent!  okay, i've been doing a lot of thinking about us, y'know a lot of uhh, us thinking. and uh, well i guess there's only one-one way to do this. (he slowly and awkwardly gets down on one knee.)"
3373, wait what-wh-wh-what are you doing?!, (getting out a ring box) monica…
3374," no-no, don't-don't-don't do it!", will you marry me?
3375," chandler, why are you doing this?", i don't know. but i know i'm not afraid to do this.
3376," do you umm, you really think the best reason to get married is because you're sorry?"," no, the best reason to get married is pregnancy. sorry is pretty much fourth y'know, behind being ready and actually wanting to get married. (laughs.) will you be my wife?"
3377," (kneels with him) chandler, umm, i want you to take just a minute and i want you to think about how ridiculous this sounds."," yeah, i'm kinda wishing everyone wasn't here right now."
